name,longitude,latitude,prov,date,key
Solanum trigalense Cárdenas,-64.135556,-18.453889,gbif,2018-02-25,4909644031
Solanum L.,-69.067222,-15.615,gbif,2018-02-20,2268934319
Solanum L.,-69.067222,-15.615,gbif,2018-02-20,2268935532
Solanum L.,-69.067222,-15.615,gbif,2018-02-20,4061987896
Solanum L.,-68.721378,-14.661556,gbif,2018-07-23,2268963325
Solanum acutilobum Dunal,-63.672222,-18.135278,gbif,2018-10-23,4924374856
Solanum aphyodendron S.Knapp,-68.46625,-15.074917,gbif,2018-10-08,2268971885
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.271633,-19.060243,gbif,2017-01-30,4162140310
Solanum sisymbriifolium Lam.,-65.271638,-19.060158,gbif,2017-01-30,1847418120
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.272603,-19.059777,gbif,2017-01-30,4162028310
Solanum abutiloides (Griseb.) Bitter & Lillo,-65.272597,-19.059775,gbif,2017-01-30,4162216305
Solanum sisymbriifolium Lam.,-65.250648,-19.057878,gbif,2017-01-31,1847418469
Solanum acaule Bitter,-68.07235,-16.543582,gbif,2017-01-16,2980937379
Solanum argentinum Bitter & Lillo,-63.17,-20.031667,gbif,2017-02-10,4926512098
Solanum argentinum Bitter & Lillo,-63.17,-20.031667,gbif,2017-02-10,3946854245
Solanum hieronymi Kuntze,-63.025556,-19.83,gbif,2017-02-09,3946834524
Solanum polytrichostylum Bitter,-67.820722,-16.222417,gbif,2017-03-10,3946844630
Solanum sinuatiexcisum Bitter,-67.880278,-16.298444,gbif,2017-03-10,3946842894
Solanum acutilobum Dunal,-63.265833,-18.281389,gbif,2017-03-04,3946834588
Solanum riparium Pers.,-63.244167,-18.293055,gbif,2017-03-04,3946851962
Solanum polytrichostylum Bitter,-67.820722,-16.222417,gbif,2017-03-10,4031840158
Solanum sinuatiexcisum Bitter,-67.880278,-16.298444,gbif,2017-03-10,4031522055
Solanum sisymbriifolium Lam.,-66.245828,-17.309328,gbif,2017-07-08,1950035826
Solanum L.,-66.13139,-17.31778,gbif,2017-07-20,4444390741
Solanum lindenii Rusby,-68.168056000000007,-14.617778,gbif,2017-09-19,3946780800
Solanum maturecalvans Bitter,-69.038611,-14.683889,gbif,2017-11-13,3946807915
Solanum maturecalvans Bitter,-69.038611,-14.683889,gbif,2017-11-13,4032140379
Solanum L.,-64.6725,-17.825,gbif,2017-12-11,2252414661
Solanum nitidum Ruiz & Pav.,-69.085529,-16.170221,gbif,2016-01-11,4516173348
Solanum L.,-63.40097,-18.90834,gbif,2016-03-07,4912191543
Solanum consimile C.V.Morton,-63.37512,-18.86326,gbif,2016-03-07,4912189440
Solanum L.,-69.07138,-18.345833,gbif,2016-05-14,2252414934
Solanum clandestinum Bohs,-68.853806,-14.887222,gbif,2016-06-23,2268820264
Solanum maturecalvans Bitter,-68.853806,-14.887222,gbif,2016-06-23,2268822595
Solanum cutervanum Zahlbr.,-68.861472,-14.889305,gbif,2016-06-29,2268821278
Solanum clandestinum Bohs,-68.853806,-14.887222,gbif,2016-06-23,4061829096
Solanum cutervanum Zahlbr.,-68.861472,-14.889305,gbif,2016-06-29,4061222032
Solanum aphyodendron S.Knapp,-68.917889,-15.112889,gbif,2016-07-05,2268822690
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,2268822100
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,2268821600
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,2268821995
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,2268822777
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,2268822858
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,2268823302
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,2268821548
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,2268824613
Solanum aphyodendron S.Knapp,-68.917889,-15.112889,gbif,2016-07-05,4061829095
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.917889,-15.112889,gbif,2016-07-05,4031373248
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4031476341
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4061209974
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,4061941989
Solanum clandestinum Bohs,-68.917889,-15.112889,gbif,2016-07-05,4061756048
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4031476342
Solanum maturecalvans Bitter,-68.917889,-15.112889,gbif,2016-07-05,4031380465
Solanum abutiloides (Griseb.) Bitter & Lillo,-65,-17,gbif,NA,3818079566
Solanum corumbense S.Moore,-68.321389,-14.397222,gbif,2015-06-30,4536870423
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258180594
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.879667,-15.132389,gbif,2015-07-13,1258180617
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258180691
Solanum clandestinum Bohs,-68.879667,-15.132389,gbif,2015-07-13,1258180675
Solanum clandestinum Bohs,-68.879667,-15.132389,gbif,2015-07-13,1258180861
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258180864
Solanum clandestinum Bohs,-68.879667,-15.132389,gbif,2015-07-13,1258180896
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,1258181234
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,4031462851
Solanum ochrophyllum Van Heurck & Müll.Arg.,-68.879667,-15.132389,gbif,2015-07-13,4031365989
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,4031968716
Solanum maturecalvans Bitter,-68.879667,-15.132389,gbif,2015-07-13,4031900157
Solanum sisymbriifolium Lam.,-63.45807,-21.260005,gbif,2015-08-12,2901562534
Solanum palitans C.V.Morton,-65.766077,-17.56572,gbif,2015-09-24,4847136329
Solanum sisymbriifolium Lam.,-65.765878,-17.565373,gbif,2015-09-24,1847417897
Solanum fiebrigii Bitter,-65.762162,-17.562992,gbif,2015-09-24,3859331345
Solanum sisymbriifolium Lam.,-66.35729,-17.358718,gbif,2015-09-27,1847418001
Solanum caricaefolium Rusby,-64.500167,-17.268319,gbif,2015-09-29,4075621410
Solanum wrightii Benth.,-65.659711,-17.024867,gbif,2015-09-26,3384392505
Solanum crinitum Lam.,-64.26306,-12.57139,gbif,2015-09-26,2805018366
Solanum consimile C.V.Morton,-63.3425,-18.819444,gbif,2015-10-24,4926519735
Solanum acutilobum Dunal,-63.306111,-18.79,gbif,2015-10-24,3946804043
Solanum riparium Pers.,-65.293611,-17.808333,gbif,2015-10-16,3946825918
Solanum riparium Pers.,-65.293611,-17.808333,gbif,2015-10-16,4527083379
Solanum L.,-67.205542,-16.805365,gbif,2015-11-05,4852674618
Solanum abutiloides (Griseb.) Bitter & Lillo,-64.216667,-18.118333,gbif,2015-11-21,3946842329
